panel_id,metric_output_id,status,mismatch_fields,actual_ag,paper_ag,actual_acc_cross,paper_acc_cross,actual_d_ag,paper_d_ag,actual_d_acc,paper_d_acc,native_state,paper_panel_state
d2_5_a,pearson_r,matched,,0.12722789620160882,0.12722789620160882,0.7930729166666666,0.7930729166666666,0.00077986995493734,0.00077986995493734,-0.0010156250000001865,-0.0010156250000001865,complete,complete
d2_5_b,pearson_r,matched,,0.1391248700773135,0.1391248700773135,0.8002083333333333,0.8002083333333333,0.0012026018980987874,0.0012026018980987874,-0.001822916666666785,-0.001822916666666785,complete,complete
d2_5_a,nmse,matched,,0.10928518306365705,0.10928518306365705,0.7917968749999997,0.7917968749999997,0.018722583092889114,0.018722583092889114,-0.002291666666667025,-0.002291666666667025,complete,complete
d2_5_b,nmse,matched,,0.13403702212395432,0.13403702212395432,0.800546875,0.800546875,0.006290449851457963,0.006290449851457963,-0.0014843750000000933,-0.0014843750000000933,complete,complete
d2_5_a,wasserstein_1_cm1,matched,,0.053120470286407775,0.053120470286407775,0.83203125,0.83203125,0.07488729587013838,0.07488729587013838,0.03794270833333324,0.03794270833333324,complete,complete
d2_5_b,wasserstein_1_cm1,matched,,0.20989283465050015,0.20989283465050015,0.7366406249999998,0.7366406249999998,-0.06956536267508787,-0.06956536267508787,-0.06539062500000026,-0.06539062500000026,complete,complete
d2_5_a,is_like_structure_to_noise,matched,,0.3916731068568527,0.3916731068568527,0.29692708333333334,0.29692708333333334,-0.26366534070030656,-0.26366534070030656,-0.4971614583333334,-0.4971614583333334,complete,complete
d2_5_b,is_like_structure_to_noise,matched,,0.4253839446839741,0.4253839446839741,0.37328125,0.37328125,-0.2850564727085618,-0.2850564727085618,-0.4287500000000001,-0.4287500000000001,complete,complete
d2_5_a,precision,matched,,0.4262028812432644,0.4262028812432644,0.6178124999999999,0.6178124999999999,-0.29819511508671825,-0.29819511508671825,-0.17627604166666688,-0.17627604166666688,complete,complete
d2_5_b,precision,matched,,0.3840817258570806,0.3840817258570806,0.6676041666666668,0.6676041666666668,-0.24375425388166833,-0.24375425388166833,-0.1344270833333333,-0.1344270833333333,complete,complete
d2_5_a,recall,matched,,0.4277132876207225,0.4277132876207225,0.6244270833333333,0.6244270833333333,-0.2997055214641764,-0.2997055214641764,-0.16966145833333346,-0.16966145833333346,complete,complete
d2_5_b,recall,matched,,0.3885156130364344,0.3885156130364344,0.67234375,0.67234375,-0.2481881410610221,-0.2481881410610221,-0.12968750000000007,-0.12968750000000007,complete,complete
d2_5_a,f1,matched,,0.4360858530439565,0.4360858530439565,0.6220312499999999,0.6220312499999999,-0.30807808688741034,-0.30807808688741034,-0.17205729166666683,-0.17205729166666683,complete,complete
d2_5_b,f1,matched,,0.3826736126325487,0.3826736126325487,0.6719270833333332,0.6719270833333332,-0.2423461406571364,-0.2423461406571364,-0.1301041666666669,-0.1301041666666669,complete,complete
d2_5_a,artifact_peak_ratio,matched,,0.4262028812432644,0.4262028812432644,0.6178124999999999,0.6178124999999999,-0.29819511508671825,-0.29819511508671825,-0.17627604166666688,-0.17627604166666688,complete,complete
d2_5_b,artifact_peak_ratio,matched,,0.3840817258570806,0.3840817258570806,0.6676041666666668,0.6676041666666668,-0.24375425388166833,-0.24375425388166833,-0.1344270833333333,-0.1344270833333333,complete,complete
d2_5_a,missing_peak_ratio,matched,,0.4277132876207225,0.4277132876207225,0.6244270833333333,0.6244270833333333,-0.2997055214641764,-0.2997055214641764,-0.16966145833333346,-0.16966145833333346,complete,complete
d2_5_b,missing_peak_ratio,matched,,0.3885156130364344,0.3885156130364344,0.67234375,0.67234375,-0.2481881410610221,-0.2481881410610221,-0.12968750000000007,-0.12968750000000007,complete,complete
d2_10_a,mse,matched,,0.1600017184366217,0.1600017184366217,0.7833593749999999,0.7833593749999999,,,,,complete,complete
d2_10_b,mse,matched,,0.2865859764330646,0.2865859764330646,0.7897656249999999,0.7897656249999999,,,,,complete,complete
d2_10_a,rmse,matched,,0.16012393577250375,0.16012393577250375,0.7844791666666667,0.7844791666666667,-0.0001222173358820522,-0.0001222173358820522,0.0011197916666668695,0.0011197916666668695,complete,complete
d2_10_b,rmse,matched,,0.2870779634062815,0.2870779634062815,0.7896354166666665,0.7896354166666665,-0.0004919869732168958,-0.0004919869732168958,-0.00013020833333343695,-0.00013020833333343695,complete,complete
d2_10_a,mae,matched,,0.1529706860091944,0.1529706860091944,0.7953385416666668,0.7953385416666668,0.007031032427427308,0.007031032427427308,0.011979166666666985,0.011979166666666985,complete,complete
d2_10_b,mae,matched,,0.29112369592127446,0.29112369592127446,0.7884635416666667,0.7884635416666667,-0.004537719488209857,-0.004537719488209857,-0.0013020833333332593,-0.0013020833333332593,complete,complete
d2_10_a,sam,matched,,0.16664892238320667,0.16664892238320667,0.781953125,0.781953125,-0.0066472039465849675,-0.0066472039465849675,-0.0014062499999998312,-0.0014062499999998312,complete,complete
d2_10_b,sam,matched,,0.2736931946281863,0.2736931946281863,0.7883593750000001,0.7883593750000001,0.012892781804878295,0.012892781804878295,-0.0014062499999998312,-0.0014062499999998312,complete,complete
d2_10_a,pearson_r,matched,,0.15862276032614706,0.15862276032614706,0.7837760416666667,0.7837760416666667,0.001378958110474643,0.001378958110474643,0.0004166666666668428,0.0004166666666668428,complete,complete
d2_10_b,pearson_r,matched,,0.2799056546975217,0.2799056546975217,0.786640625,0.786640625,0.0066803217355428934,0.0066803217355428934,-0.0031249999999999334,-0.0031249999999999334,complete,complete
d2_10_a,nmse,matched,,0.13657593264380835,0.13657593264380835,0.7815364583333333,0.7815364583333333,0.023425785792813347,0.023425785792813347,-0.001822916666666563,-0.001822916666666563,complete,complete
