panel_id,endpoint_id,protocol_id,representation,metric_output_id,left_family,right_family,state,pair_count_per_cluster,pair_count_total,oc,strict_agreement_count,strict_incorrect_count,metric_tie_count,downstream_tie_count,double_tie_count,bootstrap_lower,bootstrap_upper
d1_a,d1,a,common_grid,rmse,p08,p10,complete,64,1920,0.8197916666666667,1567,339,0,14,0,0.7765625,0.85677734375
d1_a,d1,a,common_grid,rmse,p08,p11,complete,64,1920,0.7533854166666667,1434,461,0,25,0,0.7057161458333333,0.7981770833333334
d1_a,d1,a,common_grid,rmse,p08,p12,complete,64,1920,0.81875,1559,335,0,26,0,0.7645768229166666,0.85546875
d1_a,d1,a,common_grid,rmse,p09,p10,complete,64,1920,0.5994791666666667,1147,765,0,8,0,0.5755208333333334,0.6260416666666667
d1_a,d1,a,common_grid,rmse,p09,p11,complete,64,1920,0.7419270833333333,1404,475,0,41,0,0.6911458333333333,0.78646484375
d1_a,d1,a,common_grid,rmse,p09,p12,complete,64,1920,0.8341145833333333,1581,298,0,41,0,0.7901041666666667,0.8682356770833334
d1_a,d1,a,common_grid,rmse,p10,p11,complete,64,1920,0.77421875,1476,423,0,21,0,0.7411393229166666,0.8075520833333333
d1_a,d1,a,common_grid,rmse,p10,p12,complete,64,1920,0.8497395833333333,1623,280,0,17,0,0.8361979166666667,0.8643229166666667
d1_a,d1,a,common_grid,rmse,p11,p12,complete,64,1920,0.6747395833333333,1228,557,0,135,0,0.5393229166666667,0.8013346354166665
d1_a,d1,a,common_grid,mae,p08,p09,complete,64,1920,0.7041666666666667,1342,558,0,20,0,0.6768098958333334,0.7265625
d1_a,d1,a,common_grid,mae,p08,p10,complete,64,1920,0.8026041666666667,1534,372,0,14,0,0.75546875,0.8414127604166667
d1_a,d1,a,common_grid,mae,p08,p11,complete,64,1920,0.76171875,1450,445,0,25,0,0.7135286458333333,0.8041731770833334
d1_a,d1,a,common_grid,mae,p08,p12,complete,64,1920,0.8369791666666667,1594,300,0,26,0,0.7786458333333334,0.8783854166666667
d1_a,d1,a,common_grid,mae,p09,p10,complete,64,1920,0.6765625,1295,617,0,8,0,0.65625,0.6979166666666666
d1_a,d1,a,common_grid,mae,p09,p11,complete,64,1920,0.74296875,1406,473,0,41,0,0.6921875,0.7872395833333333
d1_a,d1,a,common_grid,mae,p09,p12,complete,64,1920,0.8393229166666667,1591,288,0,41,0,0.7921809895833334,0.8755208333333333
d1_a,d1,a,common_grid,mae,p10,p11,complete,64,1920,0.7763020833333333,1480,419,0,21,0,0.74375,0.80859375
d1_a,d1,a,common_grid,mae,p10,p12,complete,64,1920,0.8669270833333333,1656,247,0,17,0,0.8520833333333333,0.8817708333333333
d1_a,d1,a,common_grid,mae,p11,p12,complete,64,1920,0.67109375,1221,564,0,135,0,0.5359244791666666,0.7945507812499999
d1_a,d1,a,common_grid,sam,p08,p09,complete,64,1920,0.6015625,1145,755,0,20,0,0.57369140625,0.6317838541666665
d1_a,d1,a,common_grid,sam,p08,p10,complete,64,1920,0.8213541666666667,1570,336,0,14,0,0.7760286458333333,0.8601627604166666
d1_a,d1,a,common_grid,sam,p08,p11,complete,64,1920,0.74296875,1414,481,0,25,0,0.6955533854166667,0.7880208333333333
d1_a,d1,a,common_grid,sam,p08,p12,complete,64,1920,0.8140625,1550,344,0,26,0,0.7614388020833334,0.8507877604166667
d1_a,d1,a,common_grid,sam,p09,p10,complete,64,1920,0.60625,1160,752,0,8,0,0.5822916666666667,0.6333333333333333
d1_a,d1,a,common_grid,sam,p09,p11,complete,64,1920,0.73671875,1394,485,0,41,0,0.68541015625,0.7815169270833333
d1_a,d1,a,common_grid,sam,p09,p12,complete,64,1920,0.8325520833333333,1578,301,0,41,0,0.7880208333333333,0.8669270833333333
d1_a,d1,a,common_grid,sam,p10,p11,complete,64,1920,0.76328125,1455,444,0,21,0,0.72890625,0.79921875
d1_a,d1,a,common_grid,sam,p10,p12,complete,64,1920,0.8455729166666667,1615,288,0,17,0,0.8317708333333333,0.8606770833333334
d1_a,d1,a,common_grid,sam,p11,p12,complete,64,1920,0.6752604166666667,1229,556,0,135,0,0.5411393229166667,0.8020963541666666
d1_a,d1,a,common_grid,pearson_r,p08,p09,complete,64,1920,0.6348958333333333,1209,691,0,20,0,0.60625,0.66484375
d1_a,d1,a,common_grid,pearson_r,p08,p10,complete,64,1920,0.8171875,1562,344,0,14,0,0.7677083333333333,0.8601627604166666
d1_a,d1,a,common_grid,pearson_r,p08,p11,complete,64,1920,0.6518229166666667,1239,656,0,25,0,0.60625,0.7002604166666667
d1_a,d1,a,common_grid,pearson_r,p08,p12,complete,64,1920,0.8046875,1532,362,0,26,0,0.75416015625,0.840625
d1_a,d1,a,common_grid,pearson_r,p09,p10,complete,64,1920,0.6151041666666667,1177,735,0,8,0,0.590625,0.6427083333333333
d1_a,d1,a,common_grid,pearson_r,p09,p11,complete,64,1920,0.6986979166666667,1321,558,0,41,0,0.64869140625,0.7458528645833332
d1_a,d1,a,common_grid,pearson_r,p09,p12,complete,64,1920,0.8278645833333333,1569,310,0,41,0,0.7841080729166666,0.8622395833333333
d1_a,d1,a,common_grid,pearson_r,p10,p11,complete,64,1920,0.6658854166666667,1268,631,0,21,0,0.61900390625,0.7169401041666665
d1_a,d1,a,common_grid,pearson_r,p10,p12,complete,64,1920,0.83359375,1592,311,0,17,0,0.8182291666666667,0.8505208333333333
d1_a,d1,a,common_grid,pearson_r,p11,p12,complete,64,1920,0.6763020833333333,1231,554,0,135,0,0.5419270833333333,0.8026106770833333
d1_a,d1,a,common_grid,nmse,p08,p09,complete,64,1920,0.6026041666666667,1147,753,0,20,0,0.5747330729166666,0.63255859375
d1_a,d1,a,common_grid,nmse,p08,p10,complete,64,1920,0.8197916666666667,1567,339,0,14,0,0.7765625,0.85677734375
d1_a,d1,a,common_grid,nmse,p08,p11,complete,64,1920,0.7502604166666667,1428,467,0,25,0,0.7023372395833334,0.7953190104166666
d1_a,d1,a,common_grid,nmse,p08,p12,complete,64,1920,0.8171875,1556,338,0,26,0,0.7637890625,0.8536458333333333
d1_a,d1,a,common_grid,nmse,p09,p10,complete,64,1920,0.5932291666666667,1135,777,0,8,0,0.5702994791666667,0.6182421874999999
d1_a,d1,a,common_grid,nmse,p09,p11,complete,64,1920,0.7408854166666666,1402,477,0,41,0,0.6906054687500001,0.7859505208333332
d1_a,d1,a,common_grid,nmse,p09,p12,complete,64,1920,0.83359375,1580,299,0,41,0,0.7895833333333333,0.8674544270833333
d1_a,d1,a,common_grid,nmse,p10,p11,complete,64,1920,0.7700520833333333,1468,431,0,21,0,0.7356770833333334,0.8049544270833333
d1_a,d1,a,common_grid,nmse,p10,p12,complete,64,1920,0.84921875,1622,281,0,17,0,0.8356705729166667,0.8640625
