panel_id,endpoint_id,protocol_id,representation,metric_output_id,group,state,oc,bootstrap_lower,bootstrap_upper,pair_count_per_cluster
d2_5_b,d2_5,b,native,rmse,nonaxis_nonaxis,complete,0.6936631944444446,0.6736111111111112,0.7119791666666667,192
d2_5_b,d2_5,b,native,rmse,mixed,complete,0.90625,0.8272450086805556,0.9677690972222222,384
d2_5_b,d2_5,b,native,rmse,axis_axis,complete,0.5,0.5,0.5,64
d2_5_b,d2_5,b,native,mae,nonaxis_nonaxis,complete,0.6927083333333334,0.6730902777777777,0.7106792534722224,192
d2_5_b,d2_5,b,native,mae,mixed,complete,0.90625,0.8272450086805556,0.9677690972222222,384
d2_5_b,d2_5,b,native,mae,axis_axis,complete,0.5,0.5,0.5,64
d2_5_b,d2_5,b,native,sam,nonaxis_nonaxis,complete,0.6894097222222222,0.6684852430555557,0.7086805555555556,192
d2_5_b,d2_5,b,native,sam,mixed,complete,0.90625,0.8272450086805556,0.9677690972222222,384
d2_5_b,d2_5,b,native,sam,axis_axis,complete,0.5,0.5,0.5,64
d2_5_b,d2_5,b,native,pearson_r,nonaxis_nonaxis,complete,0.6881944444444446,0.66875,0.7063389756944445,192
d2_5_b,d2_5,b,native,pearson_r,mixed,complete,0.90625,0.8272450086805556,0.9677690972222222,384
d2_5_b,d2_5,b,native,pearson_r,axis_axis,complete,0.5,0.5,0.5,64
d2_5_b,d2_5,b,native,nmse,nonaxis_nonaxis,complete,0.6893229166666667,0.6691840277777776,0.7078146701388889,192
d2_5_b,d2_5,b,native,nmse,mixed,complete,0.90625,0.8272450086805556,0.9677690972222222,384
d2_5_b,d2_5,b,native,nmse,axis_axis,complete,0.5,0.5,0.5,64
d2_5_b,d2_5,b,native,wasserstein_1_cm1,nonaxis_nonaxis,complete,0.5732638888888889,0.5433094618055555,0.6038216145833335,192
d2_5_b,d2_5,b,native,wasserstein_1_cm1,mixed,complete,0.8789930555555554,0.8088888888888888,0.9355110677083333,384
d2_5_b,d2_5,b,native,wasserstein_1_cm1,axis_axis,complete,0.37265625,0.3411458333333333,0.4078125,64
d2_5_b,d2_5,b,native,is_like_structure_to_noise,nonaxis_nonaxis,complete,0.396875,0.3637152777777778,0.42926215277777785,192
d2_5_b,d2_5,b,native,is_like_structure_to_noise,mixed,complete,0.34036458333333336,0.3230457899305556,0.35889865451388886,384
d2_5_b,d2_5,b,native,is_like_structure_to_noise,axis_axis,complete,0.5,0.5,0.5,64
d2_5_b,d2_5,b,native,precision,nonaxis_nonaxis,complete,0.5661458333333332,0.5263867187499999,0.6037391493055556,192
d2_5_b,d2_5,b,native,precision,mixed,complete,0.7539930555555554,0.7055967881944444,0.793537326388889,384
